,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,欣技資訊股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,試算表(IFRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
製表日期：,14/03/14,,17:44:31,,,幣別：,NTD,,,,,單    位：,元,,,,,,期    間：2013/01-2013/12,,,,,,,製表者：,tiptop,,頁次：,,1/15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,期初餘額,,,,,,本期異動,,,,,,異動筆數,,,,期末餘額,,,,,,,,
科目名?,,,,,,,,,借方,,貸方,,,,借方,,,貸方,,,借方,貸方,,,借方,,,貸方,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-USA-210天以上,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-欣技醫電,,,,,,,,,"202,911",,0,,,,"30,901,295",,,"788,269",,,36,33,,,"30,315,937.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-智碁,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-威健,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-亞元,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-欣晉,,,,,,,,,"227,166",,0,,,,"21,365,531",,,"1,166,534",,,33,30,,,"20,426,163.00",,,0.00,,,,,
備抵呆帳-其他應收關係人款項-USA,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-其他應收關係人款項-賽弗萊,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-其他應收關係人款項-DACH,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收所得稅退稅款,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品存貨,,,,,,,,,"373,003",,0,,,,"237,866",,,"610,869",,,20,46,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在途商品,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵存貨跌價,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
製成品,,,,,,,,,"60,513,113",,0,,,,"889,857,642",,,"907,432,437",,,48,56,,,"42,938,318.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半成品,,,,,,,,,"141,603,833",,0,,,,"565,234,487",,,"573,278,126",,,244,87,,,"133,560,194.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在製品,,,,,,,,,"7,496,595",,0,,,,"1,419,988,993",,,"1,402,183,074",,,21,24,,,"25,302,514.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料,,,,,,,,,"213,629,621",,0,,,,"632,494,118",,,"604,300,852",,,"4,499",172,,,"241,822,887.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
物料,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在途原物料,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵存貨跌價,,,,,,,,,0,,"19,851,211",,,,"51,531,873",,,"50,929,466",,,12,11,,,0.00,,,"19,248,804.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
預付薪資,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
預付租金,,,,,,,,,"20,446",,0,,,,"700,887",,,"602,040",,,9,7,,,"119,293.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
預付保險費,,,,,,,,,"232,440",,0,,,,0,,,"232,440",,,0,1,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
用品盤存,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
預付所得稅,,,,,,,,,0,,0,,,,"85,875,245",,,"85,875,245",,,212,16,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他預付費用,,,,,,,,,"4,690,966",,0,,,,"9,159,045",,,"9,936,554",,,16,37,,,"3,913,457.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他預付費用-分攤用,,,,,,,,,"1,323,684",,0,,,,"16,053,884",,,"14,296,038",,,40,191,,,"3,081,530.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
預付貨款,,,,,,,,,"5,016,433",,0,,,,"30,137,962",,,"23,129,526",,,24,108,,,"12,024,869.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
進項稅額,,,,,,,,,0,,0,,,,"97,598,886",,,"97,598,886",,,"9,220",173,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
留抵稅額,,,,,,,,,0,,0,,,,"483,425",,,"483,425",,,1,1,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他預付款,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暫付款,,,,,,,,,0,,0,,,,"151,013,668",,,"151,013,668",,,202,238,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
